	N1_1	N2_1	N3_1	N4_1	N5_1	N7_1	N9_1	N11_1	N13_1	N14_1	N15_1	W1_1	W3_1	W5_1	W6_1	W7_1	W10_1	W11_1	W12_1	W14_1
784002	5	15	3	5	10	8	0	0	0	1	1	0	0	1	35	12	9	34	15	55
New.ReferenceOTU30090	3	1	9	2	17	6	7	9	6	9	7	17	8	11	40	3	18	14	17	5
847670	26	1	16	12	47	2	0	0	1	6	5	1	5	2	13	40	1	0	7	22
4417972	5	3	2	5	3	4	3	1	1	12	8	0	10	8	22	46	0	2	51	20
New.ReferenceOTU42209	0	0	2	32	3	7	6	10	4	13	9	1	1	0	9	27	2	1	33	46
704995	17	7	19	2	25	6	1	0	1	0	1	3	2	21	9	31	23	11	12	15
4474081	0	0	1	9	0	41	16	19	27	12	19	5	10	10	2	0	6	5	15	7
3259008	0	3	13	2	7	4	3	3	6	0	13	0	0	29	13	21	23	20	6	37
683891	12	4	29	0	14	3	5	3	4	0	2	1	5	37	2	21	0	15	13	32
236066	0	0	0	5	0	1	2	0	8	2	8	0	0	35	5	54	3	57	10	12
New.ReferenceOTU31361	4	2	11	6	8	15	4	12	6	4	11	10	8	6	28	11	17	14	15	9
4379869	10	10	19	8	14	0	1	4	19	2	16	4	0	4	30	5	16	16	10	11
38267	1	0	2	12	0	28	15	6	22	6	36	5	7	9	9	5	19	8	5	4
3050215	0	0	0	30	0	11	17	10	7	23	9	27	4	3	5	12	1	1	33	6
798621	0	4	3	25	4	13	18	13	10	17	11	33	15	2	4	10	1	7	6	3
585904	0	5	1	3	1	1	0	3	29	6	7	1	6	39	6	1	17	15	40	17
340558	1	1	11	3	15	7	1	7	13	6	12	8	10	7	31	10	14	20	14	7
213088	5	1	7	25	9	3	3	5	5	23	16	1	3	6	4	28	1	1	30	19
27188	5	0	7	3	16	4	5	7	0	4	10	1	1	52	2	18	6	18	12	24
242917	29	2	66	11	28	1	0	0	31	0	0	1	1	5	11	7	0	0	0	2
290241	46	1	46	5	53	0	2	0	1	1	0	0	3	2	14	14	0	1	1	4
79659	2	2	4	7	2	32	25	12	19	5	8	10	12	4	8	1	10	8	8	14
New.ReferenceOTU16837	5	0	20	7	22	6	5	3	5	4	4	1	1	3	35	5	23	15	21	8
4453710	2	31	4	13	1	8	8	4	24	4	8	6	5	6	13	4	13	2	16	19
4333705	9	0	20	1	1	0	9	2	18	14	1	0	5	22	10	20	38	2	4	15
317424	8	74	18	10	4	13	2	3	10	0	1	9	2	3	8	1	5	3	9	6
4423471	14	5	23	13	21	6	0	1	8	3	7	3	2	4	1	2	0	3	5	67
509575	2	2	7	13	1	20	18	16	13	7	24	10	2	4	23	8	0	2	9	7
New.ReferenceOTU25797	0	0	0	0	1	2	0	1	2	14	44	0	7	7	2	3	2	1	43	59
New.ReferenceOTU32524	11	3	24	8	39	14	3	3	4	0	2	7	3	1	36	18	6	4	1	0
New.ReferenceOTU49548	0	0	0	9	0	7	8	21	5	6	12	15	41	41	0	6	2	7	3	3
4480061	5	0	2	2	1	3	0	1	0	0	0	4	5	48	10	24	0	22	30	28
790567	1	18	4	0	10	0	1	0	14	0	1	5	0	15	5	4	5	12	39	51
4315164	2	7	3	15	5	21	12	8	17	6	10	6	0	4	18	3	1	4	28	14
1059509	0	1	0	22	0	7	5	5	11	3	5	6	5	22	12	20	8	18	1	32
4452118	7	77	5	16	2	10	6	7	12	1	2	12	3	5	4	1	4	2	4	2
New.ReferenceOTU57448	0	7	8	3	8	7	3	7	11	13	12	6	8	8	21	3	15	4	32	6
New.ReferenceOTU6593	12	0	23	1	83	2	0	1	0	1	1	0	0	1	6	44	1	1	1	3
847094	34	0	97	3	13	2	0	0	1	2	2	2	3	0	1	18	0	1	0	1
1119755	0	1	1	11	0	24	16	22	35	2	13	7	9	0	5	0	14	5	10	4
New.ReferenceOTU2720	3	0	6	20	7	14	9	13	7	7	16	5	10	9	15	4	4	4	11	15
4253231	0	0	0	39	0	30	9	13	10	10	7	3	2	1	5	3	5	1	26	15
New.ReferenceOTU56800	13	1	48	5	59	1	0	0	0	2	3	3	1	1	19	15	0	2	2	3
328984	0	0	0	20	0	11	17	29	14	18	9	0	0	2	12	35	1	3	2	3
564581	63	2	48	8	26	2	0	0	1	2	2	1	0	3	6	10	0	0	1	1
527762	49	33	49	3	17	2	1	0	0	0	4	0	0	0	11	5	0	1	0	1
New.ReferenceOTU48010	0	0	0	13	0	21	19	20	15	23	22	7	10	4	14	1	0	0	5	1
1054065	0	0	0	24	0	18	12	72	9	2	12	14	4	1	0	1	0	1	0	3
85393	0	0	0	5	0	9	1	1	5	13	6	56	8	7	0	0	1	1	59	1
2255	0	1	1	1	0	1	1	1	4	17	6	1	5	2	12	21	44	14	40	1
2792168	1	7	5	2	3	7	2	12	13	2	12	11	16	12	22	3	16	9	11	6
228894	45	1	5	2	3	1	2	0	45	1	4	2	10	17	8	12	0	2	0	12
727056	4	3	13	6	19	3	4	1	3	6	15	0	1	8	20	8	10	16	24	7
3529365	0	0	0	3	0	19	14	18	16	12	22	3	9	29	1	0	2	10	5	8
New.ReferenceOTU40822	0	0	13	11	4	18	5	6	4	8	5	3	2	0	11	14	7	5	31	24
703741	33	5	54	11	10	0	0	1	34	3	1	3	4	1	2	1	0	1	0	5
New.ReferenceOTU13127	0	0	0	36	0	25	10	24	7	11	8	2	1	3	8	14	0	0	11	9
New.ReferenceOTU10253	1	4	2	4	0	3	6	6	8	0	7	16	21	7	7	5	20	44	5	3
3926677	38	49	12	5	1	1	2	2	2	0	3	3	6	2	31	3	5	0	0	3
439462	0	1	0	11	2	4	2	2	2	22	2	1	4	0	2	3	36	6	63	3
New.ReferenceOTU3617	1	0	2	5	2	2	1	5	1	2	1	2	14	102	2	9	1	13	1	0
New.ReferenceOTU44887	0	0	2	6	5	15	9	11	2	8	4	3	0	2	17	54	2	3	8	15
4392826	0	0	4	23	26	21	19	12	7	16	12	0	1	6	0	0	1	1	7	10
4436552	30	3	5	16	2	5	7	8	17	3	5	21	26	0	1	7	1	0	0	8
New.ReferenceOTU35633	0	0	0	33	1	8	3	10	1	22	8	1	0	0	20	47	4	0	4	3
New.ReferenceOTU2097	0	0	0	0	0	11	24	11	13	14	14	33	19	9	3	4	1	1	4	4
New.ReferenceOTU3860	0	0	0	7	1	18	5	5	1	2	8	1	0	2	10	63	0	6	11	24
New.ReferenceOTU4755	1	1	6	6	1	2	12	5	20	12	3	0	5	8	8	13	44	10	3	3
163897	9	3	34	4	15	8	0	3	7	3	12	1	1	6	14	1	4	2	20	16
New.ReferenceOTU24095	16	4	32	16	13	4	2	3	1	0	4	1	0	2	31	6	16	4	6	2
New.ReferenceOTU54591	0	0	0	4	0	10	6	3	0	55	1	6	0	1	1	31	5	4	18	17
830978	0	0	0	10	1	16	18	32	14	43	18	3	0	0	0	1	0	0	1	5
New.ReferenceOTU40538	0	0	0	5	0	66	14	7	9	5	6	12	12	6	2	2	7	2	3	3
New.ReferenceOTU58578	9	0	26	3	48	4	1	1	2	0	3	0	1	5	4	40	1	1	5	5
New.ReferenceOTU58846	0	0	4	8	3	5	15	10	5	17	10	2	6	19	0	17	0	12	4	22
974797	2	55	3	8	0	5	2	8	11	3	2	17	12	0	2	0	13	5	5	4
513449	5	1	2	13	5	7	12	5	12	4	21	4	9	19	6	0	13	8	7	4
New.ReferenceOTU41615	28	5	46	5	30	2	0	0	1	2	1	0	0	1	24	2	1	1	6	2
New.ReferenceOTU48158	0	0	0	0	0	4	2	9	4	4	1	0	0	0	6	1	1	2	117	6
4472112	8	13	2	13	2	22	11	12	14	10	7	3	7	4	6	1	13	3	4	1
New.ReferenceOTU12969	0	0	1	5	1	5	3	0	0	0	7	2	63	35	2	8	11	8	3	2
New.ReferenceOTU24769	0	0	0	1	0	5	26	18	35	5	12	0	0	0	3	2	1	3	37	7
New.ReferenceOTU24043	0	0	0	13	0	18	31	21	10	37	15	1	1	2	1	1	0	1	1	0
New.ReferenceOTU55539	0	0	0	10	0	12	10	27	7	41	21	0	3	4	6	4	0	1	3	3
New.ReferenceOTU5270	12	7	44	2	25	1	0	3	0	1	3	0	1	2	37	1	1	2	6	3
822112	0	0	1	17	1	18	10	16	13	3	11	3	8	7	6	3	8	2	18	5
4456068	17	13	3	13	2	18	10	10	10	0	2	8	2	7	2	0	14	7	9	3
New.ReferenceOTU2961	0	0	0	2	1	18	15	14	20	6	15	21	15	6	2	2	2	2	5	4
717874	0	0	0	4	0	6	22	31	7	36	10	25	2	0	0	2	0	0	3	2
275810	1	1	1	6	1	24	5	6	19	0	19	2	8	12	9	1	20	8	2	4
New.ReferenceOTU550	0	0	0	5	0	5	1	4	1	2	0	0	2	1	18	12	2	2	91	2
New.ReferenceOTU33022	0	0	0	13	0	23	29	14	11	14	6	18	6	4	4	2	0	2	2	0
New.ReferenceOTU53812	0	0	0	0	0	12	33	26	17	5	14	8	4	1	0	0	1	1	21	4
New.ReferenceOTU54353	23	3	16	1	51	1	1	0	3	0	1	1	0	1	30	5	0	2	3	4
New.ReferenceOTU49779	0	0	0	0	7	2	5	1	0	1	0	0	1	5	9	69	17	22	5	2
New.ReferenceOTU13650	0	0	2	20	1	7	1	7	3	1	1	0	0	1	26	8	6	3	39	19
706656	1	18	8	6	4	5	3	0	2	0	3	2	1	6	6	7	33	9	15	16
New.ReferenceOTU34350	0	0	0	9	0	29	9	12	3	17	14	4	10	3	6	10	6	3	9	1
314752	0	4	1	15	0	9	7	28	12	22	9	2	7	2	0	2	19	4	0	1
1141745	1	3	1	1	0	2	0	0	50	0	9	0	1	3	5	0	7	3	20	38
4422568	3	0	9	2	25	2	2	6	5	3	6	0	1	18	6	21	7	7	3	18
668499	25	16	11	14	4	2	0	2	10	8	3	7	30	3	0	0	0	1	4	4
211947	37	1	31	9	40	1	0	0	2	0	0	0	1	1	8	9	0	1	1	1
New.ReferenceOTU3188	0	0	1	2	6	3	1	0	3	1	2	0	40	62	0	2	2	10	5	3
1898675	1	25	0	6	3	7	4	6	13	1	12	7	4	9	5	1	10	14	10	4
New.ReferenceOTU8058	1	0	1	7	0	11	8	12	6	4	7	5	1	3	4	6	25	18	12	10
New.ReferenceOTU19351	0	0	0	11	1	7	6	5	2	16	7	0	0	0	25	44	2	1	5	8
New.ReferenceOTU36158	4	4	11	3	3	0	4	1	11	9	9	2	0	8	24	1	18	8	16	4
1980966	0	2	0	0	0	0	1	1	8	1	2	0	0	0	1	11	4	15	12	82
96894	1	0	11	4	5	2	4	4	2	1	4	0	2	5	1	69	2	18	0	4
37583	2	1	3	13	2	18	12	11	11	11	12	3	9	5	5	1	4	0	7	7
2194877	0	2	0	11	0	22	10	17	21	12	8	11	3	2	5	1	1	1	6	4
207627	0	74	6	0	0	2	0	0	1	0	1	7	17	1	3	5	13	5	0	2
4408387	0	2	0	1	2	1	0	0	25	1	1	0	3	14	1	0	5	7	36	36
4305672	2	0	1	4	0	37	12	7	7	6	4	2	0	7	13	3	1	4	7	18
New.ReferenceOTU49470	0	0	0	0	1	5	6	1	1	2	6	2	49	21	1	1	13	13	8	5
New.ReferenceOTU48909	0	0	1	4	1	10	12	16	1	17	6	4	2	13	0	23	0	7	2	16
1141722	0	2	4	3	1	0	2	2	0	3	4	0	0	1	3	4	2	0	90	11
4090187	1	6	1	3	1	8	6	2	9	0	7	19	31	15	10	0	3	5	4	1
New.ReferenceOTU1439	15	4	20	8	24	12	2	7	8	1	2	1	2	1	14	2	2	1	2	2
231578	0	0	0	20	0	9	4	8	3	15	2	2	1	1	11	19	1	0	31	3
New.ReferenceOTU28066	0	0	0	7	0	38	20	8	5	9	12	4	6	2	0	6	5	2	4	2
New.ReferenceOTU16688	0	0	0	1	0	5	4	4	5	3	5	6	34	50	0	4	1	4	4	0
4338742	28	8	5	10	1	1	7	0	9	1	0	4	30	8	0	4	0	4	5	4
846104	0	1	0	3	2	9	7	2	11	1	14	5	11	11	10	2	24	9	6	1
224042	0	1	1	10	0	11	5	15	10	5	8	2	3	3	13	2	13	5	21	1
4361528	3	2	7	0	2	1	0	1	3	23	0	0	3	16	4	23	30	2	3	6
New.ReferenceOTU43526	4	3	7	5	1	5	7	3	7	2	4	6	11	8	17	2	9	10	13	5
New.ReferenceOTU56007	22	22	32	5	10	1	1	0	3	0	0	1	1	0	21	3	5	2	0	0
New.ReferenceOTU21854	0	0	2	5	0	11	6	7	2	4	6	9	23	40	0	7	1	1	3	1
533886	14	30	13	5	18	4	1	4	6	2	1	3	2	0	8	2	7	1	2	4
115161	0	2	0	2	1	6	7	5	23	5	4	13	6	8	23	3	5	5	7	2
3116296	3	1	20	10	43	2	3	7	6	2	6	2	1	4	2	2	3	1	5	4
New.ReferenceOTU40531	0	0	0	7	1	14	16	9	11	2	10	30	9	5	0	5	2	3	2	1
New.ReferenceOTU9888	10	5	8	7	21	6	5	2	7	0	4	2	2	3	22	11	1	2	6	2
New.ReferenceOTU18699	21	2	16	2	37	1	0	0	2	1	0	0	0	6	14	4	1	2	7	9
270517	1	0	2	4	3	5	6	6	4	13	13	2	7	7	0	12	1	4	2	33
319139	0	0	3	8	3	5	4	10	5	15	9	4	11	0	11	3	1	3	14	16
4468812	4	46	2	8	2	11	2	2	5	0	3	4	7	1	13	0	5	0	3	6
1139607	15	2	14	15	3	1	1	1	18	1	5	6	15	3	1	5	1	9	4	4
843383	0	0	1	35	1	9	7	14	9	11	5	0	0	0	12	10	0	0	2	7
332326	1	0	0	3	0	9	10	4	6	2	8	10	17	11	4	1	18	17	2	0
New.ReferenceOTU28174	0	0	0	21	0	14	23	8	7	1	9	1	0	0	27	2	0	0	5	5
143663	3	1	13	14	2	15	12	9	3	7	3	0	3	1	5	8	1	5	4	13
New.ReferenceOTU10202	19	13	17	3	16	7	2	9	3	2	2	5	0	1	16	0	2	0	4	1
2194878	0	0	3	0	4	1	2	0	0	3	1	0	0	16	0	5	4	3	31	49
59851	3	5	56	2	33	2	0	2	1	1	2	0	1	3	0	3	0	3	0	5
775954	0	0	0	3	0	6	9	2	1	8	7	0	0	0	4	2	0	2	66	11
New.ReferenceOTU25610	0	0	0	2	0	13	17	20	4	15	13	16	5	2	3	2	1	1	4	2
New.ReferenceOTU42897	0	0	0	9	1	3	3	5	2	1	1	0	0	3	2	4	4	1	13	68
New.ReferenceOTU52318	0	0	1	7	0	42	13	6	9	4	16	1	5	4	1	1	8	1	1	0
New.ReferenceOTU22286	8	0	61	1	23	1	0	1	0	1	0	0	1	1	1	14	0	2	1	3
230687	0	0	0	0	0	2	5	3	2	4	4	51	4	7	1	2	1	0	10	23
New.ReferenceOTU52017	0	0	0	11	0	7	3	10	3	17	6	11	4	1	22	16	0	1	6	0
333489	1	0	0	13	0	8	8	24	14	19	15	1	2	3	2	1	2	1	2	2
706881	0	0	0	1	0	3	1	0	3	17	2	1	0	12	8	16	13	9	27	5
New.ReferenceOTU34046	0	0	0	13	0	37	15	18	2	1	6	2	7	2	0	2	6	2	2	3
4253236	0	0	1	5	1	0	0	4	0	3	2	4	1	0	15	32	1	2	40	6
New.ReferenceOTU1071	0	0	0	0	2	0	3	5	13	8	13	0	2	7	1	1	6	3	21	31
1100972	10	0	0	1	0	0	0	1	1	3	0	2	56	12	0	1	12	3	0	14
4318690	4	1	1	5	0	13	13	6	12	2	3	11	8	2	9	4	5	3	7	7
New.ReferenceOTU38061	0	0	0	0	1	4	6	9	2	12	3	61	3	1	1	13	0	0	0	0
New.ReferenceOTU57460	0	0	0	11	0	5	3	14	7	26	16	3	3	1	12	7	0	1	3	3
New.ReferenceOTU24561	0	0	0	1	0	13	8	10	4	13	26	11	8	11	0	2	3	1	3	1
New.ReferenceOTU27292	0	0	0	1	0	2	8	11	1	11	3	69	4	2	0	1	0	0	0	1
813906	3	0	5	15	1	8	7	13	4	0	21	3	6	4	4	2	4	0	3	10
580578	3	7	0	5	1	16	11	11	9	1	14	8	4	1	7	2	4	2	5	2
New.ReferenceOTU40717	14	1	13	2	34	0	1	0	0	0	0	0	0	5	9	13	2	6	7	6
New.ReferenceOTU40011	0	0	1	11	1	18	6	15	3	9	10	1	6	8	1	10	0	2	2	9
New.ReferenceOTU1191	0	2	0	4	1	5	4	8	10	2	3	8	11	10	12	5	12	11	2	2
New.ReferenceOTU5353	0	0	0	22	0	12	10	7	4	8	12	10	10	8	0	4	3	1	1	0
791738	8	12	2	4	0	12	5	5	14	2	2	10	10	2	1	0	11	9	2	0
New.ReferenceOTU33037	0	0	7	0	6	2	4	1	0	1	4	0	1	7	6	23	0	6	21	22
813109	0	0	0	1	0	5	2	9	5	1	2	25	11	32	1	0	1	3	12	1
584193	0	0	0	11	1	2	10	1	2	1	0	0	0	0	10	60	0	2	9	2
681357	0	0	2	21	0	5	3	1	20	3	3	8	27	11	0	1	0	1	1	2
New.ReferenceOTU48228	0	0	1	2	0	15	13	13	10	8	13	2	3	2	14	5	0	0	2	6
1708706	10	27	14	8	10	3	2	2	0	1	4	1	2	0	11	1	2	4	3	3
New.ReferenceOTU15330	0	0	0	9	7	23	6	9	4	13	16	1	0	8	3	0	2	1	6	0
New.ReferenceOTU54416	14	0	19	4	30	3	1	1	0	1	2	0	0	0	4	18	1	1	3	5
873972	1	0	5	0	0	0	12	3	16	4	3	0	1	13	1	10	27	7	2	2
305809	1	0	0	12	2	11	13	3	3	4	12	4	10	15	1	1	8	2	4	0
New.ReferenceOTU21561	10	7	17	4	5	5	2	0	1	0	1	2	3	0	30	4	10	3	2	0
367523	0	0	0	1	0	3	3	3	6	2	8	5	9	5	4	11	0	17	5	24
2489145	12	9	26	6	6	6	0	3	9	2	6	0	1	7	0	1	2	1	4	4
93726	0	0	0	6	1	7	2	2	7	1	3	2	1	15	1	2	4	3	24	23
1131789	1	6	1	14	1	8	4	10	7	1	1	10	8	7	3	6	4	3	3	5
4351338	0	0	1	4	7	4	1	0	1	0	2	2	1	2	9	37	18	9	2	3
849585	1	0	0	6	1	5	11	12	4	13	6	0	0	0	3	35	0	1	3	2
4337739	0	0	1	0	0	3	7	7	5	9	12	15	12	5	3	9	1	3	3	8
1126763	8	5	13	7	8	6	4	4	12	2	4	2	2	0	11	6	2	2	1	3
New.ReferenceOTU51631	0	2	11	1	2	0	1	3	7	5	18	1	0	3	16	0	12	5	10	5
New.ReferenceOTU52794	0	0	1	2	1	2	3	5	1	5	6	7	18	34	1	7	0	5	1	3
579129	0	1	0	1	0	0	2	1	1	0	2	11	3	5	11	45	0	1	15	2
New.ReferenceOTU35136	0	0	1	0	0	2	0	4	16	1	6	0	2	3	5	0	9	3	25	24
1148224	0	0	1	9	1	27	9	8	1	2	4	3	2	1	7	3	6	6	7	4
New.ReferenceOTU39783	8	8	15	2	25	1	1	0	3	0	1	0	1	0	12	2	0	7	10	5
New.ReferenceOTU5615	0	0	3	2	4	4	0	1	5	2	14	1	7	6	10	3	10	6	16	7
New.ReferenceOTU37748	0	0	0	4	1	11	7	5	3	1	8	5	21	28	0	4	0	2	1	0
655141	0	1	1	7	0	7	13	35	18	5	4	1	0	0	6	1	0	0	0	1
New.ReferenceOTU49134	3	0	10	6	14	5	3	0	1	2	0	1	1	0	27	11	8	3	3	2
216823	0	0	0	5	0	1	1	4	0	1	2	0	0	0	2	2	10	5	26	41
224825	1	7	1	5	0	6	9	11	15	3	3	1	0	1	10	0	1	3	14	8
New.ReferenceOTU6282	0	0	0	8	1	8	14	9	5	7	7	8	14	3	3	0	0	3	9	0
1106617	0	0	0	3	0	11	4	1	7	2	11	3	14	7	6	1	15	7	6	1
17198	0	1	0	4	0	2	4	4	20	5	4	4	4	16	9	0	1	1	19	0
New.ReferenceOTU41555	0	0	0	8	0	12	9	13	9	9	7	10	4	3	6	1	0	2	3	2
New.ReferenceOTU32184	0	0	0	0	0	3	1	2	3	1	0	3	2	4	5	3	0	0	68	2
2174311	1	0	2	3	0	11	5	8	4	2	11	2	16	6	5	0	8	6	7	0
4395040	0	1	0	7	0	3	6	25	11	10	6	5	0	0	18	1	0	1	1	1
1133774	0	0	0	8	1	6	9	16	2	19	5	16	10	3	0	0	0	0	0	1
New.ReferenceOTU43405	2	0	5	5	5	4	0	4	3	5	3	0	5	9	4	27	3	6	4	2
New.ReferenceOTU19192	1	1	11	2	2	1	0	1	5	0	12	2	5	3	12	2	13	4	9	10
New.ReferenceOTU33496	0	0	11	0	16	1	0	5	5	10	5	2	3	1	13	2	3	6	11	2
838940	5	0	8	4	11	6	2	8	1	7	6	0	2	1	0	11	0	9	4	10
New.ReferenceOTU36136	3	0	2	22	9	5	3	1	2	4	0	0	0	0	11	28	0	1	1	3
New.ReferenceOTU24297	19	2	13	4	25	1	3	2	2	0	0	0	0	0	16	1	1	1	2	3
New.ReferenceOTU19777	0	1	0	6	0	15	21	15	8	10	11	1	3	1	0	1	0	0	2	0
New.ReferenceOTU28555	0	0	0	2	0	7	11	15	7	8	6	25	3	1	1	9	0	0	0	0
New.ReferenceOTU39350	1	0	0	10	8	7	3	3	4	3	3	5	1	1	4	35	0	3	1	3
New.ReferenceOTU47823	0	0	4	1	1	3	0	0	0	1	1	1	0	2	9	38	12	16	3	3
256046	0	1	0	0	0	2	0	1	2	0	2	1	2	0	4	9	13	38	0	20
New.ReferenceOTU45379	0	0	0	10	0	12	19	13	6	12	10	1	0	2	3	5	0	0	1	0
New.ReferenceOTU49711	0	0	0	3	0	6	8	12	2	14	3	24	8	5	1	1	0	3	2	2
New.ReferenceOTU53777	1	0	0	26	0	9	9	15	7	3	7	0	0	1	7	5	0	2	0	1
New.ReferenceOTU14295	0	0	1	16	7	7	13	5	10	4	3	0	1	2	8	5	2	3	5	1
New.ReferenceOTU40158	2	3	17	0	10	0	0	1	0	4	2	1	2	2	13	4	1	3	17	11
578551	0	1	3	48	9	5	5	7	4	3	1	2	3	1	0	1	0	0	0	0
304212	0	0	0	0	0	2	2	13	7	22	6	6	7	4	5	9	0	1	4	4
582007	2	16	7	7	3	8	14	5	6	2	4	3	3	0	2	0	5	1	3	1
New.ReferenceOTU38049	0	0	0	5	0	9	21	3	2	9	7	16	4	1	0	2	5	1	4	3
340661	0	0	0	6	0	25	7	7	7	8	12	1	3	3	1	1	1	5	1	3
New.ReferenceOTU27670	0	5	4	5	0	3	2	1	4	1	15	1	8	8	8	1	11	3	5	5
354306	0	0	0	8	0	6	6	10	10	13	25	3	0	2	1	2	0	0	2	1
New.ReferenceOTU33660	0	0	0	7	0	5	2	4	2	15	6	0	4	0	0	3	0	6	8	26
New.ReferenceOTU28695	20	0	11	0	29	1	0	0	1	0	1	1	0	1	12	4	0	1	4	2
New.ReferenceOTU18057	0	0	0	13	0	10	9	10	1	11	3	2	1	0	15	8	1	1	2	1
New.ReferenceOTU36966	0	0	0	11	0	16	11	9	10	3	2	12	10	1	1	0	0	1	1	0
New.ReferenceOTU37595	0	0	2	5	0	11	3	2	1	2	9	4	11	9	8	1	11	4	4	1
New.ReferenceOTU6835	0	0	0	3	2	14	13	8	5	6	9	1	7	10	1	0	0	6	3	0
4458998	0	0	0	1	0	1	2	4	2	16	10	0	11	10	0	8	0	2	2	18
New.ReferenceOTU12944	0	0	1	13	0	14	4	6	4	5	6	2	4	7	1	4	4	5	4	3
New.ReferenceOTU590	2	19	4	0	1	0	3	1	4	1	3	0	2	7	3	0	3	6	20	7
4309182	0	1	0	3	0	3	0	1	1	0	3	0	2	3	2	7	9	14	16	21
New.ReferenceOTU31306	0	5	0	0	0	0	0	0	4	0	1	1	3	16	3	3	8	22	8	12
New.ReferenceOTU9416	0	1	3	3	9	9	5	4	2	0	8	1	1	6	3	8	7	9	2	4
New.ReferenceOTU20394	0	0	0	4	0	6	6	6	9	6	8	20	12	0	2	5	0	0	1	0
New.ReferenceOTU20193	0	0	7	6	42	1	1	0	1	0	1	0	4	4	1	15	2	0	0	0
New.ReferenceOTU50645	0	0	0	7	0	13	4	5	3	1	6	14	7	3	1	3	3	10	0	5
New.ReferenceOTU26459	0	0	0	1	0	1	1	3	0	2	0	0	0	7	6	47	1	8	4	4
New.ReferenceOTU48502	2	8	9	0	4	0	1	2	8	3	8	0	0	3	7	1	2	6	10	10
New.ReferenceOTU2340	0	0	0	0	0	2	6	5	3	5	1	51	2	2	0	5	0	1	1	0
4296691	0	0	1	19	2	9	3	3	3	1	4	1	0	0	19	9	0	1	3	5
209883	0	1	1	0	2	2	6	5	10	0	7	2	4	6	6	0	4	7	12	8
New.ReferenceOTU35764	0	0	0	7	0	11	11	9	2	3	5	17	8	2	2	0	1	3	2	0
659078	3	2	1	0	1	0	0	1	8	0	0	0	2	7	3	5	3	30	10	7
New.ReferenceOTU42903	0	0	1	12	1	8	8	8	2	10	15	1	0	5	2	4	0	1	2	3
New.ReferenceOTU21240	0	0	0	2	0	12	3	14	9	11	7	6	3	3	5	3	1	3	1	0
620189	6	1	14	24	18	1	2	1	0	2	1	0	0	0	0	5	1	0	1	5
4413494	2	0	2	0	3	2	1	1	0	13	4	0	1	3	2	7	1	1	3	36
4453524	0	0	0	4	0	10	6	7	5	3	11	3	5	3	3	1	10	5	3	3
346142	0	0	1	4	0	1	4	9	3	15	6	28	1	2	0	6	0	1	0	1
New.ReferenceOTU56302	0	1	0	2	0	2	3	2	3	1	8	6	4	5	4	0	23	8	9	1
New.ReferenceOTU50766	0	0	2	2	3	0	0	0	3	0	0	0	1	15	7	1	6	9	28	5
4329776	23	6	18	2	17	0	1	0	2	1	1	0	1	2	4	1	0	0	0	2
New.ReferenceOTU6382	2	3	11	3	5	5	3	0	1	0	1	0	2	5	5	4	11	11	8	1
1904497	28	1	10	1	13	1	2	3	0	3	0	0	0	2	4	9	0	1	1	2
New.ReferenceOTU5996	8	2	12	2	35	1	0	1	0	0	0	1	0	1	7	4	1	2	1	3
New.ReferenceOTU11771	0	0	1	0	1	6	4	3	3	3	14	1	1	7	2	1	25	7	1	1
New.ReferenceOTU18810	0	2	1	0	1	5	1	5	2	3	9	3	7	5	13	2	13	3	4	1
New.ReferenceOTU31541	0	0	0	2	0	0	7	16	4	21	4	5	1	1	0	6	0	1	7	5
New.ReferenceOTU46889	0	0	0	1	0	7	10	18	4	10	4	14	4	3	0	1	0	4	0	0
New.ReferenceOTU14280	0	0	0	4	0	4	6	19	8	20	7	2	0	1	0	6	0	0	2	1
141447	0	1	0	0	2	0	2	0	3	1	1	0	0	3	1	6	23	21	5	11
106334	13	6	3	2	1	2	2	0	27	1	0	1	8	4	1	3	0	1	2	2
4383166	2	16	1	4	2	4	7	3	10	3	4	2	1	0	3	0	6	0	5	5
1634026	6	0	2	6	1	2	4	1	10	0	3	6	7	4	0	0	3	2	2	19
New.ReferenceOTU32242	0	0	0	5	3	2	1	1	0	1	2	3	0	2	8	21	4	1	14	10
New.ReferenceOTU40564	12	0	13	5	21	1	1	0	1	0	1	0	0	0	12	3	0	1	5	2
166896	15	3	11	1	20	0	1	0	18	0	1	0	1	0	1	4	0	1	1	0
New.ReferenceOTU54763	0	0	0	2	0	7	8	6	3	4	6	34	1	1	0	3	0	0	1	2
New.ReferenceOTU35950	0	1	0	1	3	7	2	2	0	1	3	5	6	15	8	4	2	8	4	6
142376	9	6	6	4	2	5	8	7	7	0	1	6	3	1	4	1	2	0	3	2
290186	4	0	13	3	2	0	2	0	6	0	0	0	12	3	8	21	0	2	0	1
646052	0	1	0	1	0	4	2	3	5	25	7	3	5	0	4	0	2	1	13	1
559843	0	0	1	1	2	7	5	7	2	2	9	3	13	21	0	2	0	2	0	0
819702	0	0	0	5	0	2	0	1	2	1	5	0	1	4	4	2	5	6	6	33
New.ReferenceOTU33015	0	0	0	2	0	11	7	9	7	5	11	9	5	1	5	2	1	0	1	0
211171	4	8	3	5	1	6	0	4	4	1	3	4	4	0	7	0	6	5	5	5
232319	1	0	2	10	1	7	3	4	6	5	10	0	1	3	6	1	5	3	4	3
